naxos movie title,movie title,imdb movie title,year,genre
Bohemian Rhapsody (2018),Bohemian Rhapsody,Bohemian Rhapsody,2018,"Biography,Drama,Music"
Zookeeper's Wife (The) (2017),Zookeeper's Wife,The Zookeeper's Wife,2017,"Biography,Drama,History"
Moonrise Kingdom (2012),Moonrise Kingdom,Moonrise Kingdom,2012,"Comedy,Drama,Romance"
Fifth Estate (The) (2013),Fifth Estate,The Fifth Estate,2013,"Biography,Crime,Drama"
Metro Manila (2013),Metro Manila,Metro Manila,2013,"Crime,Drama"
Django Unchained (2012),Django Unchained,Django Unchained,2012,"Drama,Western"
Blade Runner 2049 (2017),Blade Runner 2049,Blade Runner 2049,2017,"Drama,Mystery,Sci-Fi"
Crooked House (2017),Crooked House,Crooked House,2017,"Crime,Drama,Mystery"
Amazing Spider-Man 2 (The) (2014),Amazing Spider-Man 2,The Amazing Spider-Man 2,2014,"Action,Adventure,Fantasy"
Liberal Arts (2012),Liberal Arts,Liberal Arts,2012,"Comedy,Drama,Romance"
Spotlight (2015),Spotlight,Spotlight,2015,"Biography,Crime,Drama"
Miss Peregrine's Home for Peculiar Children (2016),Miss Peregrine's Home for Peculiar Children,Miss Peregrine's Home for Peculiar Children,2016,"Adventure,Drama,Family"
Nymphomaniac: Vol. I (2013),Nymphomaniac: Vol. I,Nymphomaniac: Vol. I,2013,Drama
Hangover Part III (The) (2013),Hangover Part III,The Hangover Part III,2013,"Comedy,Crime"
Tomorrowland (2015),Tomorrowland,Tomorrowland,2015,"Action,Adventure,Family"
Victor Frankenstein (2015),Victor Frankenstein,Victor Frankenstein,2015,"Drama,Horror,Sci-Fi"
Toy Story 4 (2019),Toy Story 4,Toy Story 4,2019,"Adventure,Animation,Comedy"
Our Kind of Traitor (2016),Our Kind of Traitor,Our Kind of Traitor,2016,"Crime,Drama,Thriller"
Monsieur Lazhar (2011),Monsieur Lazhar,Monsieur Lazhar,2011,"Comedy,Drama"
Guardians of the Galaxy (2014),Guardians of the Galaxy,Guardians of the Galaxy,2014,"Action,Adventure,Comedy"
Laggies (2014),Laggies,Laggies,2014,"Comedy,Drama,Romance"
Flatliners (2017),Flatliners,Flatliners,2017,"Drama,Horror,Mystery"
Inside Llewyn Davis (2013),Inside Llewyn Davis,Inside Llewyn Davis,2013,"Comedy,Drama,Music"
No (I) (2012),No,No,2012,Drama
Force Majeure (Turist) (2014),Force Majeure,Force Majeure,2014,"Comedy,Drama"
Accountant (The) (2016),Accountant,The Accountant,2016,Thriller
Walk (The) (2015),Walk,The Walk,2015,"Crime,Thriller"
Barbara (I) (2012),Barbara,Barbara,2012,Drama
Down River (2013),Down River,Down River,2013,Drama
Louder Than Bombs (2015),Louder Than Bombs,Louder Than Bombs,2015,Drama
Wild Card (2015),Wild Card,Wild Card,2015,"Action,Crime,Drama"
Departure (2015),Departure,Departure,2015,"Drama,Romance"
Book of Life (The) (2014),Book of Life,The Book of Life,2014,"Adventure,Animation,Comedy"
True Story (I) (2015),True Story,True Story,2015,"Biography,Crime,Drama"
Grand Budapest Hotel (The) (2014),Grand Budapest Hotel,The Grand Budapest Hotel,2014,"Adventure,Comedy,Crime"
Muppets Most Wanted (2014),Muppets Most Wanted,Muppets Most Wanted,2014,"Adventure,Comedy,Crime"
Minions (2015),Minions,Minions,2015,"Adventure,Animation,Comedy"
Alien: Covenant (2017),Alien: Covenant,Alien: Covenant,2017,"Horror,Sci-Fi,Thriller"
Fifty Shades of Grey (2015),Fifty Shades of Grey,Fifty Shades of Grey,2015,"Drama,Romance,Thriller"
Mississippi Grind (2015),Mississippi Grind,Mississippi Grind,2015,"Comedy,Drama"
Spectre (2015),Spectre,Spectre,2015,"Action,Adventure,Thriller"
Brooklyn (2015),Brooklyn,Brooklyn,2015,"Drama,Romance"
Mission: Impossible - Rogue Nation (2015),Mission: Impossible - Rogue Nation,Mission: Impossible - Rogue Nation,2015,"Action,Adventure,Thriller"
Nymphomaniac: Vol. II (2013),Nymphomaniac: Vol. II,Nymphomaniac: Vol. II,2013,"Adult,Drama"
Kidnapped for Christ (2014),Kidnapped for Christ,Kidnapped for Christ,2014,"Documentary,Drama,News"
Avengers: Age of Ultron (2015),Avengers: Age of Ultron,Avengers: Age of Ultron,2015,"Action,Adventure,Sci-Fi"
Woman in Gold (2015),Woman in Gold,Woman in Gold,2015,"Biography,Drama,History"
Happy Prince (The) (2018),Happy Prince,The Happy Prince,2018,"Biography,Drama"
No (I) (2012),No,No,2012,"Documentary,Drama,News"
Philomena (2013),Philomena,Philomena,2013,"Biography,Comedy,Drama"
Joy (2015),Joy,Joy,2015,"Biography,Drama"
Peanuts Movie (The) (2015),Peanuts Movie,The Peanuts Movie,2015,"Adventure,Animation,Comedy"
Rack Pack (The) (2016),Rack Pack,The Rack Pack,2016,"Comedy,Drama,Sport"
"Extremely Wicked, Shockingly Evil and Vile (2019)","Extremely Wicked, Shockingly Evil and Vile","Extremely Wicked, Shockingly Evil and Vile",2019,"Biography,Crime,Drama"
Origin of Violence (The) (2016),Origin of Violence,The Origin of Violence,2016,"Drama,Romance"
Arrival (II) (2016),Arrival,Arrival,2016,"Drama,Sci-Fi"
Crimson Peak (2015),Crimson Peak,Crimson Peak,2015,"Drama,Horror,Mystery"
Alice Through the Looking Glass (2016),Alice Through the Looking Glass,Alice Through the Looking Glass,2016,"Adventure,Family,Fantasy"
Blood Reunion 2: Madeline (2015),Blood Reunion 2: Madeline,Blood Reunion 2: Madeline,2015,Horror
Me and Earl and the Dying Girl (2015),Me and Earl and the Dying Girl,Me and Earl and the Dying Girl,2015,"Comedy,Drama"
Jojo Rabbit (2019),Jojo Rabbit,Jojo Rabbit,2019,"Comedy,Drama,War"
Blind (2014),Blind,Blind,2014,Drama
Greta (2018),Greta,Greta,2018,"Drama,Mystery,Thriller"
Love Is Strange (2014),Love Is Strange,Love Is Strange,2014,"Drama,Romance"
Cranium Intel (2016),Cranium Intel,Cranium Intel,2016,"Action,Adventure,Animation"
Birds of Neptune (2015),Birds of Neptune,Birds of Neptune,2015,"Drama,Music,Mystery"
Me Before You (2016),Me Before You,Me Before You,2016,"Drama,Romance"
Yves Saint Laurent (2014),Yves Saint Laurent,Yves Saint Laurent,2014,"Biography,Drama"
Sleepwalker (The) (2014),Sleepwalker,The Sleepwalker,2014,Drama
Angelica (2015),Angelica,Angelica,2015,"Drama,Thriller"
Devil's Due (2014),Devil's Due,Devil's Due,2014,"Horror,Mystery"
T2 Trainspotting (2017),T2 Trainspotting,T2 Trainspotting,2017,Drama
X/Y (2014),X/Y,X/Y,2014,Drama
Kingsman: The Secret Service (2014),Kingsman: The Secret Service,Kingsman: The Secret Service,2014,"Action,Adventure,Comedy"
Childhood of a Leader (The) (2015),Childhood of a Leader,The Childhood of a Leader,2015,Drama
Magic in the Moonlight (2014),Magic in the Moonlight,Magic in the Moonlight,2014,"Comedy,Drama,Romance"
Mistress America (2015),Mistress America,Mistress America,2015,"Comedy,Drama"
Lucy (I) (2014),Lucy,Lucy,2014,"Action,Sci-Fi,Thriller"
Shaun the Sheep Movie (2015),Shaun the Sheep Movie,Shaun the Sheep Movie,2015,"Adventure,Animation,Comedy"
Red Sparrow (2018),Red Sparrow,Red Sparrow,2018,"Action,Drama,Thriller"
I Origins (2014),I Origins,I Origins,2014,"Drama,Mystery,Romance"
My Old Lady (2014),My Old Lady,My Old Lady,2014,"Comedy,Drama,Romance"
Obvious Child (2014),Obvious Child,Obvious Child,2014,"Comedy,Drama,Romance"
Dressmaker (The) (2015),Dressmaker,The Dressmaker,2015,"Comedy,Drama"
Face of an Angel (The) (2014),Face of an Angel,The Face of an Angel,2014,"Crime,Drama"
Alvin and the Chipmunks: The Road Chip (2015),Alvin and the Chipmunks: The Road Chip,Alvin and the Chipmunks: The Road Chip,2015,"Adventure,Animation,Comedy"
Batman v Superman: Dawn of Justice (2016),Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,2016,"Action,Adventure,Sci-Fi"
Theory of Everything (The) (2014),Theory of Everything,The Theory of Everything,2014,"Biography,Drama,Romance"
Hundred-Foot Journey (The) (2014),Hundred-Foot Journey,The Hundred-Foot Journey,2014,"Comedy,Drama"
Ode to Joy (2019),Ode to Joy,Ode to Joy,2019,"Comedy,Romance"
Stonewall (I) (2015),Stonewall,Stonewall,2015,"Drama,History"
Boy (II) (The) (2016),Boy,Boy,2016,Drama
Inbetweeners 2 (The) (2014),Inbetweeners 2,The Inbetweeners 2,2014,Comedy
Homesick (I) (2015),Homesick,Homesick,2015,"Drama,Thriller"
Now You See Me 2 (2016),Now You See Me 2,Now You See Me 2,2016,"Action,Adventure,Comedy"
Mea culpa (2014),Mea culpa,Mea culpa,2014,"Action,Crime,Thriller"
True Story (I) (2015),True Story,True Story,2015,Drama
Trainwreck (2015),Trainwreck,Trainwreck,2015,"Comedy,Drama,Romance"
Homesick (I) (2015),Homesick,Homesick,2015,Drama
Pride (I) (2014),Pride,Pride,2014,"Biography,Comedy,Drama"
"New Girlfriend (The) ""Une nouvelle amie"" (2014)",New Girlfriend,The New Girlfriend,2014,"Comedy,Drama,Romance"
Passage to Mars (2016),Passage to Mars,Passage to Mars,2016,Adventure
StalkHer (2015),StalkHer,StalkHer,2015,"Comedy,Romance,Thriller"
Equals (2015),Equals,Equals,2015,"Drama,Romance,Sci-Fi"
Boychoir (The Choir) (2014),Boychoir,Boychoir,2014,"Drama,Music"
Still Alice (2014),Still Alice,Still Alice,2014,Drama
MI-5 (Spooks: The Greater Good) (2015),MI-5,MI-5,2015,"Action,Drama,Thriller"
Brothers Grimsby (The) (2016),Brothers Grimsby,The Brothers Grimsby,2016,"Action,Adventure,Comedy"
X-Men: Apocalypse (2016),X-Men: Apocalypse,X-Men: Apocalypse,2016,"Action,Adventure,Sci-Fi"
Last Trip (The) (2015),Last Trip,The Last Trip,2015,"Comedy,Drama,Thriller"
Ferdinand (2017),Ferdinand,Ferdinand,2017,"Adventure,Animation,Comedy"
What We Do in the Shadows (2014),What We Do in the Shadows,What We Do in the Shadows,2014,"Comedy,Horror"
Ice Age: Collision Course (2016),Ice Age: Collision Course,Ice Age: Collision Course,2016,"Adventure,Animation,Comedy"
April and the Extraordinary World (2015),April and the Extraordinary World,April and the Extraordinary World,2015,"Adventure,Animation,Comedy"
No Letting Go (2015),No Letting Go,No Letting Go,2015,Drama
Sing (2016),Sing,Sing,2016,"Animation,Comedy,Family"
Casa Grande (2014),Casa Grande,Casa Grande,2014,"Drama,Romance"
Walk (The) (2015),Walk,The Walk,2015,"Action,Adventure,Biography"
Captain America: Civil War (2016),Captain America: Civil War,Captain America: Civil War,2016,"Action,Adventure,Sci-Fi"
Thor: Ragnarok (2017),Thor: Ragnarok,Thor: Ragnarok,2017,"Action,Adventure,Comedy"
How Not to Disappear Completely (2015),How Not to Disappear Completely,How Not to Disappear Completely,2015,"Drama,Romance"
Visit (The) (I) (2015),Visit,The Visit,2015,"Horror,Mystery,Thriller"
Lost & Found (2016),Lost & Found,Lost & Found,2016,"Adventure,Documentary,Family"
Detours (2016),Detours,Detours,2016,"Comedy,Drama"
Fotograf (2015),Fotograf,Fotograf,2015,"Biography,Comedy,Drama"
Holding the Man (2015),Holding the Man,Holding the Man,2015,"Biography,Drama,Romance"
Bridge of Spies (2015),Bridge of Spies,Bridge of Spies,2015,"Drama,History,Thriller"
Christmas Eve (2015),Christmas Eve,Christmas Eve,2015,Comedy
Irrational Man (2015),Irrational Man,Irrational Man,2015,"Comedy,Crime,Drama"
Elle (2016),Elle,Elle,2016,"Crime,Drama,Thriller"
After the Ball (2015),After the Ball,After the Ball,2015,Comedy
Lady in the Van (The) (2015),Lady in the Van,The Lady in the Van,2015,"Biography,Comedy,Drama"
Trust (The) (2016),Trust,The Trust,2016,"Crime,Thriller"
Lives We Lead (The) (2015),Lives We Lead,The Lives We Lead,2015,Drama
Blue Mountain State: The Rise of Thadland (2016),Blue Mountain State: The Rise of Thadland,Blue Mountain State: The Rise of Thadland,2016,"Comedy,Sport"
Love (II) (2015),Love,Love,2015,"Drama,Romance"
Journey's End (2017),Journey's End,Journey's End,2017,"Drama,War"
La La Land (2016),La La Land,La La Land,2016,"Comedy,Drama,Music"
Standing Tall (2015),Standing Tall,Standing Tall,2015,Drama
Brand New Testament (The) (2015),Brand New Testament,The Brand New Testament,2015,"Comedy,Fantasy"
Choice (The) (2016),Choice,The Choice,2016,"Drama,Romance"
Lost & Found (2016),Lost & Found,Lost & Found,2016,"Adventure,Drama,Family"
Visit (The) (I) (2015),Visit,The Visit,2015,Documentary
Centaurus (2015),Centaurus,Centaurus,2015,"Drama,Mystery,Thriller"
Goldfinch (The) (2019),Goldfinch,The Goldfinch,2019,Drama
Boss Baby (The) (2017),Boss Baby,The Boss Baby,2017,"Adventure,Animation,Comedy"
Boy (II) (The) (2016),Boy,The Boy,2016,"Horror,Mystery,Thriller"
Bis (2015),Bis,Bis,2015,"Comedy,Fantasy"
Le talent de mes amis (2015),Le talent de mes amis,Le talent de mes amis,2015,Comedy
Manchester by the Sea (2016),Manchester by the Sea,Manchester by the Sea,2016,Drama
Cursed Ones (The) (2015),Cursed Ones,The Cursed Ones,2015,"Drama,Thriller"
A Man Called Ove (2015),A Man Called Ove,A Man Called Ove,2015,"Comedy,Drama,Romance"
Dheepan (2015),Dheepan,Dheepan,2015,"Crime,Drama"
Dad's Army (2016),Dad's Army,Dad's Army,2016,"Comedy,War"
Valley of Love (2015),Valley of Love,Valley of Love,2015,"Drama,Fantasy"
Wiener-Dog (2016),Wiener-Dog,Wiener-Dog,2016,"Comedy,Drama"
Apostate (The) (2015),Apostate,The Apostate,2015,Comedy
Gift (The) (VI) (2015),Gift,The Gift,2015,"Drama,Mystery,Thriller"
Victoria (II) (2015),Victoria,Victoria,2015,"Crime,Drama,Romance"
Set Me Free: Vol. I (2016),Set Me Free: Vol. I,Set Me Free: Vol. I,2016,"Crime,Drama,Mystery"
Ladrones (2015),Ladrones,Ladrones,2015,Comedy
My Cousin Rachel (2017),My Cousin Rachel,My Cousin Rachel,2017,"Drama,Mystery,Romance"
Holidays (2016),Holidays,Holidays,2016,"Fantasy,Horror,Mystery"
Modern Strife in the Summer of 2014 (2015),Modern Strife in the Summer of 2014,Modern Strife in the Summer of 2014,2015,"Comedy,Drama"
Marguerite (2015),Marguerite,Marguerite,2015,"Comedy,Drama,Music"
Levon (2015),Levon,Levon,2015,"Drama,Sci-Fi"
Twisting Fate (2016),Twisting Fate,Twisting Fate,2016,Drama
Scare Campaign (2016),Scare Campaign,Scare Campaign,2016,Horror
"Bullets, Fangs and Dinner at 8 (2015)","Bullets, Fangs and Dinner at 8","Bullets, Fangs and Dinner at 8",2015,"Comedy,Crime,Horror"
Morgan (2016),Morgan,Morgan,2016,"Action,Horror,Sci-Fi"
Hounds of Zaroff (2016),Hounds of Zaroff,Hounds of Zaroff,2016,"Action,Drama,Thriller"
Victoria (II) (2015),Victoria,Victoria,2015,Documentary
Invisible Ink (II) (2015),Invisible Ink,Invisible Ink,2015,"Comedy,Drama"
Or So the Story Goes: Happy Thoughts (2015),Or So the Story Goes: Happy Thoughts,Or So the Story Goes: Happy Thoughts,2015,"Drama,Horror,Sci-Fi"
Kingsman: The Golden Circle (2017),Kingsman: The Golden Circle,Kingsman: The Golden Circle,2017,"Action,Adventure,Comedy"
Bad Moms (2016),Bad Moms,Bad Moms,2016,Comedy
Bad Education Movie (The) (2015),Bad Education Movie,The Bad Education Movie,2015,Comedy
Fifty Shades of Black (2016),Fifty Shades of Black,Fifty Shades of Black,2016,Comedy
On the Basis of Sex (2018),On the Basis of Sex,On the Basis of Sex,2018,"Biography,Drama"
Death of Stalin (The) (2017),Death of Stalin,The Death of Stalin,2017,"Comedy,Drama,History"
Mad to Be Normal (2017),Mad to Be Normal,Mad to Be Normal,2017,"Biography,Drama,History"
Love (II) (2015),Love,Love,2015,"Drama,Romance"
Imperium (2016),Imperium,Imperium,2016,"Biography,Crime,Drama"
Detours (2016),Detours,Detours,2016,"Crime,Drama,Thriller"
Creation (The) (2015),Creation,The Creation,2015,Sci-Fi
Invisible Ink (II) (2015),Invisible Ink,Invisible Ink,2015,"Comedy,Drama"
Lady Bird (2017),Lady Bird,Lady Bird,2017,"Comedy,Drama"
Demon (2015),Demon,Demon,2015,"Comedy,Drama,Fantasy"
Everybody Knows (Todos lo saben) (2018),Everybody Knows,Everybody Knows,2018,"Crime,Drama,Mystery"
Moonlight (2016),Moonlight,Moonlight,2016,Drama
Square (The) (2017),Square,The Square,2017,"Comedy,Drama"
Dunkirk (2017),Dunkirk,Dunkirk,2017,"Action,Drama,History"
"Three Billboards Outside Ebbing, Missouri (2017)","Three Billboards Outside Ebbing, Missouri","Three Billboards Outside Ebbing, Missouri",2017,"Comedy,Crime,Drama"
Frantz (2016),Frantz,Frantz,2016,"Drama,History,Romance"
Favourite (The) (2018),Favourite,The Favourite,2018,"Biography,Comedy,Drama"
Lazy Hazy Crazy (2015),Lazy Hazy Crazy,Lazy Hazy Crazy,2015,Drama
Isle of Dogs (2018),Isle of Dogs,Isle of Dogs,2018,"Adventure,Animation,Comedy"
My Scientology Movie (2015),My Scientology Movie,My Scientology Movie,2015,Documentary
Peter Rabbit (2018),Peter Rabbit,Peter Rabbit,2018,"Adventure,Animation,Comedy"
Girl in the Spider's Web (The) (2018),Girl in the Spider's Web,The Girl in the Spider's Web,2018,"Action,Crime,Drama"
Tom of Finland (2017),Tom of Finland,Tom of Finland,2017,"Biography,Drama"
Roots & Wings (2016),Roots & Wings,Roots & Wings,2016,Documentary
Trolls (2016),Trolls,The Trolls,2016,"Comedy,History,News"
All the Money in the World (2017),All the Money in the World,All the Money in the World,2017,"Biography,Crime,Drama"
After the Storm (2016),After the Storm,After the Storm,2016,"Comedy,Drama"
Wolf Hour (The) (2019),Wolf Hour,The Wolf Hour,2019,"Drama,Mystery,Thriller"
Colette (2018),Colette,Colette,2018,"Biography,Drama,History"
"Never Steady, Never Still (2017)","Never Steady, Never Still","Never Steady, Never Still",2017,Drama
Extracurricular (2018),Extracurricular,Extracurricular,2018,"Drama,Horror,Thriller"
Beast (2017),Beast,Beast,2017,"Crime,Drama,Mystery"
Beast (2017),Beast,Beast,2017,"Crime,Drama,Mystery"
Call Me by Your Name (2017),Call Me by Your Name,Call Me by Your Name,2017,"Drama,Romance"
Phantom Thread (2017),Phantom Thread,Phantom Thread,2017,"Drama,Romance"
Victoria & Abdul (2017),Victoria & Abdul,Victoria & Abdul,2017,"Biography,Drama,History"
Kitchen (The) (2019),Kitchen,The Kitchen,2019,"Action,Crime,Drama"
Elvira Madigan (1967),Elvira Madigan,Elvira Madigan,1967,Drama
We Have Always Lived in the Castle (2018),We Have Always Lived in the Castle,We Have Always Lived in the Castle,2018,"Drama,Mystery,Thriller"
Radioactive (2019),Radioactive,Radioactive,2019,"Biography,Drama,Romance"
Bel Canto (2018),Bel Canto,Bel Canto,2018,"Drama,Music,Romance"
Roma (2018),Roma,Roma,2018,Drama
Hot Air (2018),Hot Air,Hot Air,2018,Drama
Spider-Man: Far from Home (2019),Spider-Man: Far from Home,Spider-Man: Far from Home,2019,"Action,Adventure,Sci-Fi"
Odyssey (The) (2016),Odyssey,The Odyssey,2016,Documentary
Double Lover (L'amant double) (2017),Double Lover,Double Lover,2017,"Drama,Romance,Thriller"
Downton Abbey (2019),Downton Abbey,Downton Abbey,2019,"Drama,Romance"
Kindness of Strangers (The) (2019),Kindness of Strangers,The Kindness of Strangers,2019,Drama
Parasite (2019),Parasite,Parasite,2019,"Comedy,Drama,Thriller"
Foxtrot (2017),Foxtrot,Foxtrot,2017,Mystery
Little Stranger (The) (2018),Little Stranger,The Little Stranger,2018,"Drama,Horror,Mystery"
Hummingbird Project (The) (2018),Hummingbird Project,The Hummingbird Project,2018,"Drama,Thriller"
Foxtrot (2017),Foxtrot,Foxtrot,2017,Drama
Resistance (2020),Resistance,Resistance,2020,"Biography,Drama,History"
Green Book (2018),Green Book,Green Book,2018,"Biography,Comedy,Drama"
Candidate (The) (El reino) (2018),Candidate,The Candidate,2018,"Drama,Mystery,Thriller"
It Chapter Two (2019),It Chapter Two,It Chapter Two,2019,"Drama,Fantasy,Horror"
Spotlight (2015),Spotlight,Spotlight,2015,Drama
Bad Education (2019),Bad Education,Bad Education,2019,"Biography,Comedy,Crime"
Love (II) (2015),Love,Love,2015,Fantasy
Hunt (The) (2020),Hunt,The Hunt,2020,"Action,Horror,Thriller"
Two Popes (The) (2019),Two Popes,The Two Popes,2019,"Comedy,Drama"
Portrait of a Lady on Fire (Portrait de la jeune fille en feu) (2019),Portrait of a Lady on Fire,Portrait of a Lady on Fire,2019,"Drama,Romance"
Hearts and Bones (2019),Hearts and Bones,Hearts and Bones,2019,Drama
Piranhas (La paranza dei bambini) (2019),Piranhas,Piranhas,2019,"Crime,Drama"
Daniel Isn't Real (2019),Daniel Isn't Real,Daniel Isn't Real,2019,"Crime,Drama,Fantasy"
Knives Out (2019),Knives Out,Knives Out,2019,"Comedy,Crime,Drama"
Greed (2019),Greed,Greed,2019,"Comedy,Drama"
Father (The) (2020),Father,Father,2020,Drama
Emma. (2020),Emma.,Emma.,2020,"Comedy,Drama,Romance"
